Valores em fileira de: Balan�a, Temperatura, Press�o e Velocidade

-0.103;nan;-0.67;0.00
-0.093;nan;-1.91;0.00
-0.032;nan;-2.29;0.00
-0.066;nan;-1.78;0.00
-0.181;nan;-3.07;0.00
-0.189;nan;-4.24;0.00
-0.145;nan;-6.10;0.00
-0.296;nan;-6.68;0.00
-0.284;nan;-6.10;0.00
-0.280;nan;-6.30;0.00
-0.419;nan;-7.53;0.00
-0.557;nan;-10.52;0.00
-0.674;nan;-12.28;0.00
-0.710;nan;-13.67;0.00
-0.656;nan;-12.95;0.00
-0.805;nan;-15.56;0.00
-0.937;nan;-19.12;0.00
-0.998;nan;-18.82;0.00
-1.143;nan;-20.88;0.00
-1.075;nan;-19.07;0.00
-1.138;nan;-23.80;0.00
-1.231;nan;-26.34;0.00
-1.284;nan;-30.38;0.00
-1.361;nan;-33.73;0.00
-1.634;nan;-36.40;0.00
-1.732;nan;-37.92;0.00
-1.874;nan;-41.26;0.00
-2.143;nan;-48.24;0.00
-2.171;nan;-54.02;0.00
-2.507;nan;-50.13;0.00
-2.404;nan;-60.82;0.00
-2.439;nan;-53.46;0.00
-2.468;nan;-42.10;0.00
-2.343;nan;-55.07;0.00
-2.366;nan;-51.78;0.00
-2.473;nan;-61.48;0.00
-2.536;nan;-62.94;0.00
-2.685;nan;-57.63;0.00
-2.670;nan;-64.09;0.00
-2.810;nan;-65.45;0.00
-2.858;nan;-68.54;0.00
-2.736;nan;-65.62;0.00
-2.820;nan;-67.37;0.00
-3.097;nan;-77.12;0.00
-3.083;nan;-66.32;0.00
-2.770;nan;-69.98;0.00
-2.856;nan;-76.76;0.00
-2.651;nan;-74.32;0.00
-2.381;nan;-63.98;0.00
-1.886;nan;-59.50;0.00
-1.669;nan;-44.08;0.00
-1.497;nan;-40.75;0.00
-1.274;nan;-32.81;0.00
-1.293;nan;-32.91;0.00
-0.946;nan;-22.31;0.00
-4.710;nan;-19.00;0.00
-6.740;nan;-10.73;0.00
-7.056;nan;-7.33;0.00
-7.004;nan;-4.51;0.00
-6.992;nan;-2.38;0.00
-7.040;nan;-1.28;0.00
-7.198;nan;-0.48;0.00
-7.424;nan;-0.21;0.00
-7.501;nan;-0.22;0.00
-7.489;nan;-0.12;0.00
-7.490;nan;-0.21;0.00
-7.511;nan;-0.30;0.00
-7.516;nan;-0.11;0.00
-7.510;nan;-0.24;0.00
-7.534;nan;-0.30;0.00
-7.504;nan;-0.80;0.00
-7.542;nan;-0.61;0.00
-7.540;nan;-0.40;0.00
-7.551;nan;-0.54;0.00
-7.565;nan;-0.34;0.00
-7.552;nan;-0.38;0.00
-7.483;nan;-0.09;0.00
-7.416;nan;0.16;0.52
-7.323;nan;0.01;0.12
-7.453;nan;-0.21;0.00
-7.271;nan;0.05;0.27
-7.340;nan;-0.17;0.00
2720W
11600rpm
