Valores em fileira de: Balan�a, Temperatura, Press�o e Velocidade

0.025;nan;-1.26;0.00
0.087;nan;-10000000.00;0.00
0.104;nan;-1.69;0.00
0.053;nan;-2.83;0.00
-0.006;nan;-6.55;0.00
0.090;nan;-6.10;0.00
-0.059;nan;-6.55;0.00
-0.152;nan;-7.31;0.00
-0.221;nan;-10.07;0.00
-0.245;nan;-12.63;0.00
-0.296;nan;-15.55;0.00
-0.359;nan;-17.30;0.00
-0.429;nan;-19.67;0.00
-0.495;nan;-21.09;0.00
-0.458;nan;-21.89;0.00
-0.510;nan;-24.64;0.00
-0.631;nan;-10000000.00;0.00
-0.724;nan;-31.95;0.00
-0.812;nan;-36.75;0.00
-0.951;nan;-46.58;0.00
-0.940;nan;-40.65;0.00
-0.910;nan;-41.03;0.00
-1.012;nan;-38.75;0.00
-1.095;nan;-52.15;0.00
-1.411;nan;-10000000.00;0.00
-1.715;nan;-10000000.00;0.00
-1.755;nan;-10000000.00;0.00
-2.061;nan;-10000000.00;0.00
-1.988;nan;-80.11;0.00
-1.925;nan;-85.00;0.00
-2.103;nan;-88.03;0.00
-2.047;nan;-85.20;0.00
-2.106;nan;-77.31;0.00
-1.845;nan;-87.76;0.00
-1.681;nan;-80.10;0.00
-1.381;nan;-64.29;0.00
-1.402;nan;-57.01;0.00
-1.202;nan;-54.20;0.00
-1.230;nan;-52.07;0.00
-2.848;nan;-51.36;0.00
-6.530;nan;-45.73;0.00
-6.852;nan;-46.61;0.00
-6.774;nan;-37.00;0.00
-6.932;nan;-37.64;0.00
-6.729;31.40;-34.50;0.00
-6.685;31.40;-29.04;0.00
-6.606;31.40;-20.51;0.00
-6.574;31.40;-15.19;0.00
-6.600;31.40;-23.69;0.00
-6.418;31.40;-16.08;0.00
-6.428;31.40;-12.02;0.00
-6.379;31.40;-7.48;0.00
-6.307;31.30;-4.95;0.00
3656W
1110rpm
